nummer,preis_avr,preis_sum,menge_avr,menge_sum,dauer,geschw,marke1,marke2,marke3,marke4,marke5,marke6,marke7,marke8,marke9,alter,klasse,einkm,persn,prbew,bildg,kaufw,last_dauer_relativ,treue1,treue2,treue3,treue4,treue5,treue6,treue7,treue8,treue9,einkmpp,Frequency,Monetary
1,1.25,124,1.01010101,100,10.44444444,0.153333462,0,1,0,51,0,0,0,0,47,2.747474747,5,1,2,1,2.373737374,1.340425532,14,NaN,0,NaN,0.549019608,NaN,NaN,NaN,NaN,0.489361702,0.5,100,1.25
8,1.77,55,1.419354839,44,27.06451613,0.117071112,1,0,0,1,0,1,2,25,1,2,2,3,4,4,3,0.73897497,20,0,NaN,NaN,0,NaN,0,0.5,0.8,0,0.75,44,1.77
14,2.5,15,1,6,166.6666667,0.017296221,1,0,0,0,0,0,0,0,5,2,1,4,4,4,3,0.438,73,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6,1,6,2.5
17,1.95,39,1.65,33,38.2,0.079530858,10,1,0,0,0,1,0,0,8,4,4,2,1,1,2,0.689354276,26.33333333,0.4,0,NaN,NaN,NaN,0,NaN,NaN,0.375,2,33,1.95
20,2.41,183,1.144736842,87,13.10526316,0.120575696,0,0,0,0,23,26,13,10,4,3,4,2,2,1,3,1.602409639,21,NaN,NaN,NaN,NaN,0.347826087,0.423076923,0.230769231,0.3,0,1,87,2.41
26,2.11,167,1.075949367,85,13.69620253,0.112973153,18,5,1,1,0,0,27,6,21,5,3,1,3,1,2,0.146025878,2,0.277777778,0,0,0,NaN,NaN,0.851851852,0.333333333,0.333333333,0.333333333,85,2.11
28,1.75,198,1.203539823,136,9.628318584,0.252947975,1,1,1,74,0,36,0,0,0,4,3,3,2,2,3,0.934742647,9,0,0,0,0.527027027,NaN,0.083333333,NaN,NaN,NaN,1.5,136,1.75
32,2.04,49,2.916666667,70,11.875,0.461570985,23,1,0,0,0,0,0,0,0,5,1,1,3,2,1,0.084210526,1,0.913043478,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.333333333,70,2.04
36,2.13,179,1.345238095,113,11.83333333,0.287835793,18,0,0,0,0,0,0,0,66,4,1,3,2,1,3,0.028169014,0.333333333,0.277777778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.803030303,1.5,113,2.13
37,2.48,186,1.026666667,77,13.6,0.123333508,0,0,2,0,1,0,55,17,0,2,3,3,4,2,3,0.514705882,7,NaN,NaN,0,NaN,0,NaN,0.763636364,0.235294118,NaN,0.75,77,2.48
